customer_id,credit_score,risk_grade,external_active_loans,external_overdue_amount,bureau_pull_date
1001,661,MEDIUM,1,0,2025-01-01
1002,393,HIGH,3,0,2025-01-01
1003,677,LOW,4,0,2025-01-01
1004,315,HIGH,2,0,2025-01-01
1005,722,LOW,3,0,2025-01-01
1006,400,HIGH,2,0,2025-01-01
1007,704,LOW,1,0,2025-01-01
1008,631,MEDIUM,3,0,2025-01-01
1009,590,MEDIUM,3,0,2025-01-01
1010,475,HIGH,4,1500,2025-01-01
1011,349,HIGH,3,0,2025-01-01
1012,434,HIGH,1,1500,2025-01-01
1013,818,LOW,2,0,2025-01-01
1014,776,LOW,3,0,2025-01-01
1015,722,LOW,2,1500,2025-01-01
1016,500,HIGH,2,1500,2025-01-01
1017,484,HIGH,0,1500,2025-01-01
1018,717,LOW,0,0,2025-01-01
1019,323,HIGH,4,1500,2025-01-01
1020,621,MEDIUM,4,0,2025-01-01
1021,738,LOW,0,0,2025-01-01
1022,548,HIGH,2,0,2025-01-01
1023,581,MEDIUM,4,0,2025-01-01
1024,556,HIGH,3,0,2025-01-01
1025,668,MEDIUM,2,0,2025-01-01
1026,405,HIGH,4,0,2025-01-01
1027,782,LOW,4,0,2025-01-01
1028,786,LOW,1,0,2025-01-01
1029,592,MEDIUM,4,0,2025-01-01
1030,641,MEDIUM,1,0,2025-01-01
1031,360,HIGH,4,0,2025-01-01
1032,467,HIGH,2,1500,2025-01-01
1033,351,HIGH,2,0,2025-01-01
1034,448,HIGH,1,0,2025-01-01
1035,726,LOW,4,1500,2025-01-01
1036,593,MEDIUM,0,0,2025-01-01
1037,823,LOW,0,1500,2025-01-01
1038,379,HIGH,3,0,2025-01-01
1039,469,HIGH,1,0,2025-01-01
1040,680,LOW,2,1500,2025-01-01
1041,393,HIGH,1,500,2025-01-01
1042,432,HIGH,0,0,2025-01-01
1043,333,HIGH,3,0,2025-01-01
1044,692,LOW,1,0,2025-01-01
1045,559,HIGH,1,0,2025-01-01
1046,581,MEDIUM,2,0,2025-01-01
1047,437,HIGH,1,0,2025-01-01
1048,617,MEDIUM,4,500,2025-01-01
1049,417,HIGH,2,500,2025-01-01
1050,593,MEDIUM,1,500,2025-01-01
1051,848,LOW,1,1500,2025-01-01
1052,822,LOW,2,0,2025-01-01
1053,637,MEDIUM,2,0,2025-01-01
1054,474,HIGH,0,1500,2025-01-01
1055,362,HIGH,0,0,2025-01-01
1056,559,HIGH,2,0,2025-01-01
1057,360,HIGH,3,0,2025-01-01
1058,425,HIGH,4,0,2025-01-01
1059,836,LOW,1,1500,2025-01-01
1060,669,MEDIUM,2,0,2025-01-01
1061,834,LOW,0,0,2025-01-01
1062,725,LOW,1,1500,2025-01-01
1063,827,LOW,1,0,2025-01-01
1064,689,LOW,0,0,2025-01-01
1065,472,HIGH,1,0,2025-01-01
1066,508,HIGH,3,0,2025-01-01
1067,464,HIGH,0,0,2025-01-01
1068,454,HIGH,3,0,2025-01-01
1069,325,HIGH,3,0,2025-01-01
1070,763,LOW,4,0,2025-01-01
1071,576,HIGH,1,0,2025-01-01
1072,601,MEDIUM,3,0,2025-01-01
1073,431,HIGH,3,0,2025-01-01
1074,769,LOW,2,0,2025-01-01
1075,754,LOW,4,0,2025-01-01
1076,458,HIGH,4,0,2025-01-01
1077,465,HIGH,4,0,2025-01-01
1078,351,HIGH,1,0,2025-01-01
1079,506,HIGH,0,0,2025-01-01
1080,659,MEDIUM,1,1500,2025-01-01
1081,319,HIGH,1,0,2025-01-01
1082,592,MEDIUM,4,0,2025-01-01
1083,747,LOW,0,0,2025-01-01
1084,526,HIGH,0,1500,2025-01-01
1085,418,HIGH,4,500,2025-01-01
1086,451,HIGH,2,0,2025-01-01
1087,816,LOW,3,1500,2025-01-01
1088,671,LOW,0,1500,2025-01-01
1089,688,LOW,2,0,2025-01-01
1090,650,MEDIUM,4,0,2025-01-01
1091,430,HIGH,2,0,2025-01-01
1092,846,LOW,2,0,2025-01-01
1093,594,MEDIUM,0,500,2025-01-01
1094,581,MEDIUM,0,0,2025-01-01
1095,541,HIGH,2,0,2025-01-01
1096,344,HIGH,1,500,2025-01-01
1097,433,HIGH,2,0,2025-01-01
1098,531,HIGH,0,0,2025-01-01
1099,750,LOW,1,0,2025-01-01
1100,393,HIGH,1,500,2025-01-01
1101,384,HIGH,1,0,2025-01-01
1102,760,LOW,4,500,2025-01-01
1103,771,LOW,1,0,2025-01-01
1104,817,LOW,4,0,2025-01-01
1105,305,HIGH,4,1500,2025-01-01
1106,416,HIGH,2,0,2025-01-01
1107,758,LOW,0,0,2025-01-01
1108,471,HIGH,4,0,2025-01-01
1109,360,HIGH,3,0,2025-01-01
1110,395,HIGH,3,0,2025-01-01
1111,556,HIGH,0,0,2025-01-01
1112,546,HIGH,4,0,2025-01-01
1113,536,HIGH,2,0,2025-01-01
1114,620,MEDIUM,2,500,2025-01-01
