txn_id,gateway_name,gateway_status,response_code,processing_time_ms,device_type,geo_location,processed_timestamp
30001,Stripe,SUCCESS,00,1474,ATM,New York,2024-01-01 00:03:38
30002,PayPal,SUCCESS,00,125,Mobile,New York,2024-01-01 00:46:50
30003,Stripe,SUCCESS,00,1229,POS,Chicago,2024-01-01 00:52:17
30004,Stripe,SUCCESS,00,1384,ATM,Dallas,2024-01-01 01:24:23
30005,Stripe,SUCCESS,00,1411,ATM,New York,2024-01-01 01:53:38
30006,PayPal,SUCCESS,00,342,Mobile,New York,2024-01-01 03:52:37
30007,Square,SUCCESS,00,1353,Desktop,Los Angeles,2024-01-01 04:02:59
30008,Stripe,SUCCESS,00,148,POS,Los Angeles,2024-01-01 04:50:23
30009,PayPal,SUCCESS,00,219,POS,New York,2024-01-01 05:20:07
30010,PayPal,SUCCESS,00,433,ATM,Dallas,2024-01-01 05:35:57
30011,Stripe,SUCCESS,00,358,ATM,Chicago,2024-01-01 05:40:27
30012,PayPal,SUCCESS,00,1056,POS,Chicago,2024-01-01 07:14:38
30013,PayPal,SUCCESS,00,167,Desktop,Los Angeles,2024-01-01 07:20:52
30014,PayPal,PENDING,99,1260,Mobile,Los Angeles,2024-01-01 08:13:20
30015,Stripe,SUCCESS,00,1189,Mobile,Los Angeles,2024-01-01 08:58:37
30016,Stripe,SUCCESS,00,356,POS,New York,2024-01-01 09:57:59
30017,Stripe,SUCCESS,00,1165,Mobile,Los Angeles,2024-01-01 10:00:14
30018,Stripe,SUCCESS,00,1381,ATM,New York,2024-01-01 10:22:18
30019,Square,SUCCESS,00,964,POS,Dallas,2024-01-01 10:27:12
30020,AuthorizeNet,SUCCESS,00,474,Mobile,Dallas,2024-01-01 10:45:29
30021,Stripe,SUCCESS,00,1102,ATM,Los Angeles,2024-01-01 11:14:58
30022,Square,SUCCESS,00,176,Mobile,New York,2024-01-01 13:13:59
30023,PayPal,SUCCESS,00,1187,Mobile,Chicago,2024-01-01 13:48:30
30024,Stripe,SUCCESS,00,1245,Mobile,New York,2024-01-01 14:41:50
30025,Stripe,SUCCESS,00,915,Mobile,Chicago,2024-01-01 15:34:54
30026,Stripe,SUCCESS,00,1063,Desktop,Dallas,2024-01-01 15:45:26
30027,Stripe,FAILED,05,177,Desktop,Los Angeles,2024-01-01 17:36:25
30028,PayPal,SUCCESS,00,1421,ATM,Dallas,2024-01-01 17:52:23
30029,PayPal,SUCCESS,00,381,Desktop,Chicago,2024-01-01 20:05:43
30030,AuthorizeNet,SUCCESS,00,1206,ATM,Dallas,2024-01-01 21:17:18
30031,Square,SUCCESS,00,1247,ATM,New York,2024-01-01 21:22:59
30032,PayPal,FAILED,12,990,POS,New York,2024-01-01 22:49:20
30033,Square,FAILED,05,715,ATM,New York,2024-01-01 23:21:13
30034,Stripe,SUCCESS,00,930,POS,Dallas,2024-01-01 23:40:51
30035,Square,SUCCESS,00,279,Desktop,New York,2024-01-02 00:22:08
30036,PayPal,SUCCESS,00,251,Mobile,New York,2024-01-02 00:33:34
30037,Stripe,SUCCESS,00,1480,Mobile,Dallas,2024-01-02 02:21:10
30038,PayPal,PENDING,99,1059,POS,Los Angeles,2024-01-02 04:02:13
30039,PayPal,SUCCESS,00,541,Mobile,New York,2024-01-02 04:55:56
30040,Stripe,SUCCESS,00,1236,Mobile,Los Angeles,2024-01-02 05:38:16
30041,PayPal,SUCCESS,00,325,ATM,New York,2024-01-02 06:58:12
30042,AuthorizeNet,SUCCESS,00,1391,ATM,Chicago,2024-01-02 11:01:13
30043,Stripe,SUCCESS,00,1149,Mobile,New York,2024-01-02 12:15:48
30044,Square,FAILED,12,364,ATM,Dallas,2024-01-02 12:51:39
30045,PayPal,SUCCESS,00,575,Mobile,New York,2024-01-02 12:51:42
30046,AuthorizeNet,SUCCESS,00,1434,POS,Los Angeles,2024-01-02 13:42:12
30047,AuthorizeNet,SUCCESS,00,218,Mobile,Los Angeles,2024-01-02 13:56:40
30048,Stripe,SUCCESS,00,588,POS,Los Angeles,2024-01-02 14:02:49
30049,Stripe,SUCCESS,00,1365,ATM,New York,2024-01-02 14:25:24
30050,Stripe,SUCCESS,00,718,Mobile,Los Angeles,2024-01-02 15:17:23
30051,Stripe,SUCCESS,00,1111,ATM,Dallas,2024-01-02 15:25:26
30052,Square,SUCCESS,00,540,ATM,Los Angeles,2024-01-02 15:34:34
30053,Square,SUCCESS,00,807,Mobile,Los Angeles,2024-01-02 16:24:09
30054,Square,FAILED,12,905,ATM,New York,2024-01-02 20:12:15
30055,PayPal,SUCCESS,00,733,POS,Chicago,2024-01-02 21:05:52
30056,PayPal,SUCCESS,00,109,ATM,New York,2024-01-02 21:26:34
30057,PayPal,SUCCESS,00,700,Desktop,New York,2024-01-02 22:51:32
30058,Stripe,SUCCESS,00,792,Mobile,Dallas,2024-01-02 23:25:47
30059,Square,FAILED,05,817,ATM,Dallas,2024-01-03 00:12:56
30060,AuthorizeNet,SUCCESS,00,375,Mobile,Los Angeles,2024-01-03 00:28:43
30061,AuthorizeNet,SUCCESS,00,1398,Mobile,Los Angeles,2024-01-03 01:20:59
30062,AuthorizeNet,SUCCESS,00,1428,Mobile,Chicago,2024-01-03 01:43:08
30063,AuthorizeNet,SUCCESS,00,927,POS,New York,2024-01-03 01:50:11
30064,PayPal,SUCCESS,00,180,ATM,Dallas,2024-01-03 02:57:57
30065,PayPal,SUCCESS,00,1385,Desktop,New York,2024-01-03 03:32:59
30066,PayPal,SUCCESS,00,527,Mobile,Dallas,2024-01-03 04:44:36
30067,PayPal,SUCCESS,00,624,ATM,New York,2024-01-03 05:03:57
30068,Square,SUCCESS,00,755,Desktop,Dallas,2024-01-03 05:07:07
30069,Stripe,SUCCESS,00,284,Mobile,Dallas,2024-01-03 05:45:35
30070,AuthorizeNet,SUCCESS,00,886,Desktop,New York,2024-01-03 05:58:59
30071,PayPal,SUCCESS,00,316,POS,Los Angeles,2024-01-03 06:09:09
30072,PayPal,SUCCESS,00,1007,POS,Dallas,2024-01-03 07:38:51
30073,Stripe,SUCCESS,00,131,ATM,Chicago,2024-01-03 09:00:08
30074,PayPal,SUCCESS,00,1083,ATM,Los Angeles,2024-01-03 09:32:28
30075,PayPal,SUCCESS,00,847,Mobile,Dallas,2024-01-03 09:57:51
30076,Square,SUCCESS,00,1021,ATM,Dallas,2024-01-03 10:34:27
30077,AuthorizeNet,SUCCESS,00,467,Desktop,New York,2024-01-03 10:34:28
30078,PayPal,SUCCESS,00,435,ATM,Chicago,2024-01-03 10:59:14
30079,Square,SUCCESS,00,384,Mobile,Dallas,2024-01-03 11:56:00
30080,Square,SUCCESS,00,1211,POS,Dallas,2024-01-03 11:57:22
30081,Square,SUCCESS,00,778,POS,New York,2024-01-03 12:28:19
30082,Stripe,SUCCESS,00,1411,POS,Chicago,2024-01-03 13:04:07
30083,PayPal,SUCCESS,00,1080,POS,Los Angeles,2024-01-03 13:40:43
30084,PayPal,SUCCESS,00,791,POS,New York,2024-01-03 14:28:16
30085,AuthorizeNet,SUCCESS,00,686,Desktop,Dallas,2024-01-03 14:29:44
30086,Square,SUCCESS,00,755,POS,Dallas,2024-01-03 14:59:14
30087,PayPal,SUCCESS,00,1100,Desktop,Chicago,2024-01-03 15:11:10
30088,AuthorizeNet,SUCCESS,00,1441,POS,Los Angeles,2024-01-03 17:45:27
30089,AuthorizeNet,SUCCESS,00,995,Desktop,Dallas,2024-01-03 18:13:56
30090,Square,SUCCESS,00,1485,Desktop,New York,2024-01-03 18:23:41
30091,PayPal,SUCCESS,00,169,ATM,New York,2024-01-03 19:29:17
30092,Stripe,SUCCESS,00,1489,Desktop,Dallas,2024-01-03 22:36:59
30093,PayPal,SUCCESS,00,1493,ATM,Chicago,2024-01-03 22:44:28
30094,AuthorizeNet,SUCCESS,00,759,Desktop,Chicago,2024-01-03 23:10:44
30095,PayPal,SUCCESS,00,790,Mobile,Chicago,2024-01-03 23:12:10
30096,Square,SUCCESS,00,353,Mobile,New York,2024-01-04 00:12:22
30097,PayPal,FAILED,05,1341,Desktop,New York,2024-01-04 00:32:08
30098,AuthorizeNet,SUCCESS,00,812,ATM,Los Angeles,2024-01-04 01:09:22
30099,Square,SUCCESS,00,455,Mobile,Chicago,2024-01-04 01:25:03
30100,Stripe,SUCCESS,00,521,Mobile,Chicago,2024-01-04 01:25:59
30101,Square,SUCCESS,00,661,ATM,Los Angeles,2024-01-04 02:14:29
30102,Stripe,SUCCESS,00,546,Mobile,Chicago,2024-01-04 02:22:39
30103,AuthorizeNet,SUCCESS,00,1116,Desktop,Los Angeles,2024-01-04 02:24:07
30104,AuthorizeNet,SUCCESS,00,647,POS,Dallas,2024-01-04 02:28:32
30105,Square,SUCCESS,00,403,ATM,Dallas,2024-01-04 02:47:05
30106,AuthorizeNet,SUCCESS,00,402,ATM,Dallas,2024-01-04 02:47:08
30107,Square,SUCCESS,00,997,ATM,Los Angeles,2024-01-04 03:03:12
30108,AuthorizeNet,SUCCESS,00,1245,POS,Dallas,2024-01-04 03:55:02
30109,Square,SUCCESS,00,1200,POS,Dallas,2024-01-04 03:55:07
